countrycode,countryname,adminone,adminlevel,date,datatype,indicator name,population,prevalence
#country+code,#country+name,#adm1+name,#meta+adminlevel,#date,#data+type,#indicator+name,#population,#indicator+prevalence
YEM,Yemen,,national,2024-10-20,SURVEY,fcs,21101652,0.6176570302234329
YEM,Yemen,,national,2024-10-20,SURVEY,rcsi,18203849,0.5328367310786656
YEM,Yemen,,national,2024-10-19,SURVEY,fcs,21105495,0.6177695147656477
YEM,Yemen,,national,2024-10-19,SURVEY,rcsi,18138313,0.5309184561024245
YEM,Yemen,,national,2024-10-18,SURVEY,fcs,21107463,0.6178271690059564
YEM,Yemen,,national,2024-10-18,SURVEY,rcsi,18165473,0.5317134443280517
YEM,Yemen,,national,2024-10-17,SURVEY,fcs,21089199,0.6172925218302713
YEM,Yemen,,national,2024-10-17,SURVEY,rcsi,18173316,0.5319430132770059
YEM,Yemen,,national,2024-10-16,SURVEY,fcs,21014439,0.6151042676223518
YEM,Yemen,,national,2024-10-16,SURVEY,rcsi,18236998,0.5338070206475654
YEM,Yemen,,national,2024-10-15,SURVEY,fcs,21085965,0.6171978313131135
YEM,Yemen,,national,2024-10-15,SURVEY,rcsi,18147178,0.531177939556776
YEM,Yemen,,national,2024-10-14,SURVEY,fcs,21144882,0.6189223940455734
YEM,Yemen,,national,2024-10-14,SURVEY,rcsi,18115394,0.5302476042930301
YEM,Yemen,,national,2024-10-13,SURVEY,fcs,21143680,0.6188872108405953
YEM,Yemen,,national,2024-10-13,SURVEY,rcsi,18060458,0.5286395971809882
YEM,Yemen,,national,2024-10-12,SURVEY,fcs,21142610,0.618855891348643
YEM,Yemen,,national,2024-10-12,SURVEY,rcsi,18092935,0.5295902169381198
YEM,Yemen,,national,2024-10-11,SURVEY,fcs,21021405,0.6153081650805559
YEM,Yemen,,national,2024-10-11,SURVEY,rcsi,18014389,0.5272911320644041
YEM,Yemen,,national,2024-10-10,SURVEY,fcs,21064591,0.6165722239902058
YEM,Yemen,,national,2024-10-10,SURVEY,rcsi,18019979,0.5274547544569393
YEM,Yemen,,national,2024-10-09,SURVEY,fcs,21014751,0.6151133753322129
YEM,Yemen,,national,2024-10-09,SURVEY,rcsi,18066904,0.5288282751670851
YEM,Yemen,,national,2024-10-08,SURVEY,fcs,20880364,0.6111798181197281
YEM,Yemen,,national,2024-10-08,SURVEY,rcsi,18043311,0.5281376950048162
YEM,Yemen,,national,2024-10-07,SURVEY,fcs,20606705,0.6031696779430088
YEM,Yemen,,national,2024-10-07,SURVEY,rcsi,17913230,0.5243301521705813
YEM,Yemen,,national,2024-10-06,SURVEY,fcs,20699767,0.6058936317462332
YEM,Yemen,,national,2024-10-06,SURVEY,rcsi,17871522,0.5231093359366173
YEM,Yemen,,national,2024-10-05,SURVEY,fcs,20732919,0.6068640091267926
YEM,Yemen,,national,2024-10-05,SURVEY,rcsi,17868896,0.5230324714638449
YEM,Yemen,,national,2024-10-04,SURVEY,fcs,20754940,0.6075086198272008
YEM,Yemen,,national,2024-10-04,SURVEY,rcsi,17819794,0.5215952287593254
YEM,Yemen,,national,2024-10-03,SURVEY,fcs,20819938,0.6094111033979951
YEM,Yemen,,national,2024-10-03,SURVEY,rcsi,17744700,0.519397185835347
YEM,Yemen,,national,2024-10-02,SURVEY,fcs,20876887,0.6110779880282464
YEM,Yemen,,national,2024-10-02,SURVEY,rcsi,17736680,0.5191624359984719
YEM,Yemen,,national,2024-10-01,SURVEY,fcs,20994804,0.6145295279584714
YEM,Yemen,,national,2024-10-01,SURVEY,rcsi,17770894,0.5201638987065577
YEM,Yemen,,national,2024-09-30,SURVEY,fcs,20998525,0.6146384436870267
YEM,Yemen,,national,2024-09-30,SURVEY,rcsi,17794741,0.5208619135893461
YEM,Yemen,,national,2024-09-29,SURVEY,fcs,20952698,0.6132970743593164
