Date of analysis,Country,Total country population,Level 1,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
#date+analysis,#country+code,#population,#loc+level1,#date+start+current,#date+end+current,#affected+num+ipc+current+total,#affected+num+ipc+current+p3plus,#affected+pct+ipc+current+p3plus,#affected+num+ipc+current+phase1,#affected+pct+ipc+current+phase1,#affected+num+ipc+current+phase2,#affected+pct+ipc+current+phase2,#affected+num+ipc+current+phase3,#affected+pct+ipc+current+phase3,#affected+num+ipc+current+phase4,#affected+pct+ipc+current+phase4,#affected+num+ipc+current+phase5,#affected+pct+ipc+current+phase5,#date+start+first_projection,#date+end+first_projection,#affected+num+ipc+first_projection+total,#affected+num+ipc+first_projection+p3plus,#affected+pct+ipc+first_projection+p3plus,#affected+num+ipc+first_projection+phase1,#affected+pct+ipc+first_projection+phase1,#affected+num+ipc+first_projection+phase2,#affected+pct+ipc+first_projection+phase2,#affected+num+ipc+first_projection+phase3,#affected+pct+ipc+first_projection+phase3,#affected+num+ipc+first_projection+phase4,#affected+pct+ipc+first_projection+phase4,#affected+num+ipc+first_projection+phase5,#affected+pct+ipc+first_projection+phase5,#date+start+second_projection,#date+end+second_projection,#affected+num+ipc+second_projection+total,#affected+num+ipc+second_projection+p3plus,#affected+pct+ipc+second_projection+p3plus,#affected+num+ipc+second_projection+phase1,#affected+pct+ipc+second_projection+phase1,#affected+num+ipc+second_projection+phase2,#affected+pct+ipc+second_projection+phase2,#affected+num+ipc+second_projection+phase3,#affected+pct+ipc+second_projection+phase3,#affected+num+ipc+second_projection+phase4,#affected+pct+ipc+second_projection+phase4,#affected+num+ipc+second_projection+phase5,#affected+pct+ipc+second_projection+phase5
Mar 2023,YEM,32627231,Al Jawf,2023-01-01,2023-05-31,78128,27500,0.35,23500,0.3,27500,0.35,19500,0.25,8000,0.1,0,0,2023-06-01,2023-12-31,78128,35000,0.45,23500,0.3,19500,0.25,19500,0.25,15500,0.2,0,0,,,,,,,,,,,,,,,
Mar 2023,YEM,32627231,Lahj,2023-01-01,2023-05-31,1150475,403500,0.35,373500,0.32,374500,0.33,288000,0.25,115000,0.1,0,0,2023-06-01,2023-12-31,1150475,480000,0.42,342500,0.3,329500,0.29,318000,0.28,162000,0.14,0,0,,,,,,,,,,,,,,,
Mar 2023,YEM,32627231,Dhamar,2023-01-01,2023-05-31,32627231,0,0,0,0,0,0,0,0,0,0,0,0,2023-06-01,2023-12-31,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,YEM,32627231,Sana'a,2023-01-01,2023-05-31,32627231,0,0,0,0,0,0,0,0,0,0,0,0,2023-06-01,2023-12-31,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,YEM,32627231,Raymah,2023-01-01,2023-05-31,32627231,0,0,0,0,0,0,0,0,0,0,0,0,2023-06-01,2023-12-31,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,YEM,32627231,Al Mahwit,2023-01-01,2023-05-31,32627231,0,0,0,0,0,0,0,0,0,0,0,0,2023-06-01,2023-12-31,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,YEM,32627231,Ta`iz,2023-01-01,2023-05-31,1725377,673000,0.39,487500,0.28,562500,0.33,514500,0.3,158500,0.09,0,0,2023-06-01,2023-12-31,1725377,784000,0.46,471500,0.27,471000,0.27,544500,0.32,239500,0.14,0,0,,,,,,,,,,,,,,,
Mar 2023,YEM,32627231,Sana'a City,2023-01-01,2023-05-31,32627231,0,0,0,0,0,0,0,0,0,0,0,0,2023-06-01,2023-12-31,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,YEM,32627231,Shabwah,2023-01-01,2023-05-31,720755,214500,0.29,225500,0.31,279000,0.39,175500,0.24,39000,0.05,0,0,2023-06-01,2023-12-31,720755,267000,0.37,223500,0.31,228000,0.32,204500,0.28,62500,0.09,0,0,,,,,,,,,,,,,,,
Mar 2023,YEM,32627231,Socotra,2023-01-01,2023-05-31,74106,15500,0.21,30000,0.4,29000,0.39,15500,0.21,0,0,0,0,2023-06-01,2023-12-31,74106,19500,0.26,30000,0.4,25000,0.34,19500,0.26,0,0,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Amran,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,1253007,701500,0.56,225000,0.18,327000,0.26,463500,0.37,238000,0.19,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Al Bayda,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,813749,422000,0.52,167000,0.21,225000,0.28,285000,0.35,137000,0.17,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Raymah,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,592069,319000,0.54,102500,0.17,170000,0.29,204000,0.35,115000,0.19,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Hadramaut,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,1643043,548000,0.33,544000,0.33,548000,0.33,396000,0.24,152000,0.09,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Al Mahwit,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,804472,439000,0.55,142500,0.18,222500,0.28,286000,0.36,153000,0.19,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Sana'a,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,1138450,608500,0.53,205500,0.18,325000,0.29,387500,0.34,221000,0.19,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Taizz,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,3203121,1523000,0.48,564500,0.18,1113000,0.35,918000,0.29,605000,0.19,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Al Jawf,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,621589,350500,0.56,110000,0.18,159500,0.26,212000,0.34,138500,0.22,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Hajjah,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,2428326,1587500,0.61,350000,0.14,643500,0.25,988000,0.38,599500,0.23,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Aden,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,1118612,567500,0.51,247000,0.22,305000,0.27,358000,0.32,209500,0.19,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Amanat Al Asimah,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,3869414,2127500,0.55,679000,0.18,1063000,0.27,1341500,0.35,786000,0.2,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Abyan,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,652041,348500,0.53,144000,0.22,160500,0.25,226000,0.35,122500,0.19,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Dhamar,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,2299288,1373500,0.6,381000,0.17,543500,0.24,893500,0.39,480000,0.21,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Marib,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,1072048,672500,0.63,170000,0.16,230000,0.22,419000,0.39,253500,0.24,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Lahj,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,1129754,505500,0.45,312500,0.28,312000,0.28,292500,0.26,213000,0.19,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Sa'ada,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,1004816,633500,0.63,128000,0.13,244500,0.24,470000,0.47,163500,0.16,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Al Maharah,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,193822,64500,0.33,65500,0.34,63000,0.32,48000,0.25,16500,0.09,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Al Hudaydah,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,3158168,1736000,0.55,443000,0.14,979500,0.31,1083000,0.34,653000,0.21,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Ibb,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,3244038,1474000,0.45,763000,0.24,1006500,0.31,978500,0.3,495500,0.15,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Shabwah,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,707408,367000,0.52,159000,0.22,183000,0.26,260500,0.37,106500,0.15,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Al Dhale'e,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,869050,503000,0.58,171000,0.2,194000,0.22,290000,0.33,213000,0.25,0,0,,,,,,,,,,,,,,,
Aug 2022,YEM,31900000,Socotra,,,31900000,,,,,,,,,,,,,2022-10-01,2022-12-31,72422,39500,0.55,17500,0.24,15000,0.21,31500,0.44,8000,0.11,0,0,,,,,,,,,,,,,,,
Feb 2022,YEM,31900000,Abyan,2022-01-01,2022-05-31,619003,293915,0.48,144532,0.23,180556,0.29,210157,0.34,83758,0.14,0,0,2022-06-01,2022-12-31,619003,353436,0.58,125014,0.2,140553,0.23,238728,0.39,114708,0.19,0,0,,,,,,,,,,,,,,,
Feb 2022,YEM,31900000,Al Hudaydah,2022-01-01,2022-05-31,3653999,2499782,0.68,402794,0.11,751423,0.21,1615525,0.44,884257,0.24,0,0,2022-06-01,2022-12-31,3653999,2737327,0.74,334195,0.09,582477,0.16,1620170,0.44,1072512,0.29,44645,0.01,,,,,,,,,,,,,,,
