location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,operation,assessment_type,population,reporting_round,reference_period_start,reference_period_end
YEM,True,True,Amanat Al Asimah,Shu'Aub,YE13,Sana'a City,YE1302,Shu'ub,Yemen conflict,BA,17160,12,2016-12-31,2016-12-31
YEM,True,True,Amanat Al Asimah,Shu'Aub,YE13,Sana'a City,YE1302,Shu'ub,Yemen conflict,BA,17172,13,2017-02-28,2017-02-28
YEM,True,True,Amanat Al Asimah,Shu'Aub,YE13,Sana'a City,YE1302,Shu'ub,Yemen conflict,BA,20874,14,2017-04-30,2017-04-30
YEM,True,True,Amanat Al Asimah,Shu'Aub,YE13,Sana'a City,YE1302,Shu'ub,Yemen conflict,BA,19956,15,2017-06-30,2017-06-30
YEM,True,True,Amanat Al Asimah,Shu'Aub,YE13,Sana'a City,YE1302,Shu'ub,Yemen conflict,BA,19956,16,2017-09-30,2017-09-30
YEM,True,True,Amanat Al Asimah,Shu'Aub,YE13,Sana'a City,YE1302,Shu'ub,Yemen conflict,BA,25314,32,2018-06-30,2018-06-30
YEM,True,True,Amanat Al Asimah,Shu'Aub,YE13,Sana'a City,YE1302,Shu'ub,Yemen conflict,BA,13266,37,2018-11-30,2018-11-30
YEM,True,True,Amran,Amran,YE29,Amran,YE2915,Amran,Yemen conflict,BA,27155,3,2015-07-30,2015-07-30
YEM,True,True,Amran,Amran,YE29,Amran,YE2915,Amran,Yemen conflict,BA,26321,9,2016-06-30,2016-06-30
YEM,True,True,Amran,Amran,YE29,Amran,YE2915,Amran,Yemen conflict,BA,13188,10,2016-07-31,2016-07-31
YEM,True,True,Amran,Amran,YE29,Amran,YE2915,Amran,Yemen conflict,BA,12882,11,2016-09-30,2016-09-30
YEM,True,True,Amran,Amran,YE29,Amran,YE2915,Amran,Yemen conflict,BA,23292,12,2016-12-31,2016-12-31
YEM,True,True,Amran,Amran,YE29,Amran,YE2915,Amran,Yemen conflict,BA,23784,13,2017-02-28,2017-02-28
YEM,True,True,Amran,Amran,YE29,Amran,YE2915,Amran,Yemen conflict,BA,24564,14,2017-04-30,2017-04-30
YEM,True,True,Amran,Amran,YE29,Amran,YE2915,Amran,Yemen conflict,BA,25518,15,2017-06-30,2017-06-30
YEM,True,True,Amran,Amran,YE29,Amran,YE2915,Amran,Yemen conflict,BA,25518,16,2017-09-30,2017-09-30
YEM,True,True,Amran,Amran,YE29,Amran,YE2915,Amran,Yemen conflict,BA,25518,32,2018-06-30,2018-06-30
YEM,True,True,Amran,Amran,YE29,Amran,YE2915,Amran,Yemen conflict,BA,59388,37,2018-11-30,2018-11-30
YEM,True,True,Amran,As Sawd,YE29,Amran,YE2914,As Sawd,Yemen conflict,BA,1569,3,2015-07-30,2015-07-30
YEM,True,True,Amran,As Sawd,YE29,Amran,YE2914,As Sawd,Yemen conflict,BA,2020,9,2016-06-30,2016-06-30
YEM,True,True,Amran,As Sawd,YE29,Amran,YE2914,As Sawd,Yemen conflict,BA,2178,10,2016-07-31,2016-07-31
YEM,True,True,Amran,As Sawd,YE29,Amran,YE2914,As Sawd,Yemen conflict,BA,2100,11,2016-09-30,2016-09-30
YEM,True,True,Amran,As Sawd,YE29,Amran,YE2914,As Sawd,Yemen conflict,BA,3534,12,2016-12-31,2016-12-31
YEM,True,True,Amran,As Sawd,YE29,Amran,YE2914,As Sawd,Yemen conflict,BA,3774,13,2017-02-28,2017-02-28
YEM,True,True,Amran,As Sawd,YE29,Amran,YE2914,As Sawd,Yemen conflict,BA,2598,14,2017-04-30,2017-04-30
YEM,True,True,Amran,As Sawd,YE29,Amran,YE2914,As Sawd,Yemen conflict,BA,2712,15,2017-06-30,2017-06-30
YEM,True,True,Amran,As Sawd,YE29,Amran,YE2914,As Sawd,Yemen conflict,BA,2712,16,2017-09-30,2017-09-30
YEM,True,True,Amran,As Sawd,YE29,Amran,YE2914,As Sawd,Yemen conflict,BA,2712,32,2018-06-30,2018-06-30
YEM,True,True,Amran,As Sawd,YE29,Amran,YE2914,As Sawd,Yemen conflict,BA,9654,37,2018-11-30,2018-11-30
YEM,True,True,Amran,Bani Suraim,YE29,Amran,YE2920,Bani Surim,Yemen conflict,BA,1164,3,2015-07-30,2015-07-30
YEM,True,True,Amran,Bani Suraim,YE29,Amran,YE2920,Bani Surim,Yemen conflict,BA,2050,9,2016-06-30,2016-06-30
YEM,True,True,Amran,Bani Suraim,YE29,Amran,YE2920,Bani Surim,Yemen conflict,BA,2010,10,2016-07-31,2016-07-31
YEM,True,True,Amran,Bani Suraim,YE29,Amran,YE2920,Bani Surim,Yemen conflict,BA,1944,11,2016-09-30,2016-09-30
YEM,True,True,Amran,Bani Suraim,YE29,Amran,YE2920,Bani Surim,Yemen conflict,BA,4824,12,2016-12-31,2016-12-31
YEM,True,True,Amran,Bani Suraim,YE29,Amran,YE2920,Bani Surim,Yemen conflict,BA,4728,13,2017-02-28,2017-02-28
YEM,True,True,Amran,Bani Suraim,YE29,Amran,YE2920,Bani Surim,Yemen conflict,BA,3780,14,2017-04-30,2017-04-30
YEM,True,True,Amran,Bani Suraim,YE29,Amran,YE2920,Bani Surim,Yemen conflict,BA,4158,15,2017-06-30,2017-06-30
YEM,True,True,Amran,Bani Suraim,YE29,Amran,YE2920,Bani Surim,Yemen conflict,BA,4158,16,2017-09-30,2017-09-30
YEM,True,True,Amran,Bani Suraim,YE29,Amran,YE2920,Bani Surim,Yemen conflict,BA,4158,32,2018-06-30,2018-06-30
YEM,True,True,Amran,Bani Suraim,YE29,Amran,YE2920,Bani Surim,Yemen conflict,BA,5946,37,2018-11-30,2018-11-30
YEM,True,True,Amran,Huth,YE29,Amran,YE2902,Huth,Yemen conflict,BA,5,3,2015-07-30,2015-07-30
YEM,True,True,Amran,Huth,YE29,Amran,YE2902,Huth,Yemen conflict,BA,3565,9,2016-06-30,2016-06-30
YEM,True,True,Amran,Huth,YE29,Amran,YE2902,Huth,Yemen conflict,BA,3330,10,2016-07-31,2016-07-31
YEM,True,True,Amran,Huth,YE29,Amran,YE2902,Huth,Yemen conflict,BA,1908,11,2016-09-30,2016-09-30
YEM,True,True,Amran,Huth,YE29,Amran,YE2902,Huth,Yemen conflict,BA,4626,12,2016-12-31,2016-12-31
YEM,True,True,Amran,Huth,YE29,Amran,YE2902,Huth,Yemen conflict,BA,4890,13,2017-02-28,2017-02-28
YEM,True,True,Amran,Huth,YE29,Amran,YE2902,Huth,Yemen conflict,BA,8220,14,2017-04-30,2017-04-30
