Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Apr 2024,SDN,47208125,South Kordofan,Delami,first projection,2024-06-01,2024-09-30,3,15864,0.35
Apr 2024,SDN,47208125,South Kordofan,Delami,first projection,2024-06-01,2024-09-30,4,9065,0.2
Apr 2024,SDN,47208125,South Kordofan,Delami,first projection,2024-06-01,2024-09-30,5,2266,0.05
Apr 2024,SDN,47208125,South Kordofan,Delami,second projection,2024-10-01,2025-02-28,all,45327,1.0
Apr 2024,SDN,47208125,South Kordofan,Delami,second projection,2024-10-01,2025-02-28,3+,22663,0.5
Apr 2024,SDN,47208125,South Kordofan,Delami,second projection,2024-10-01,2025-02-28,1,4533,0.1
Apr 2024,SDN,47208125,South Kordofan,Delami,second projection,2024-10-01,2025-02-28,2,18131,0.4
Apr 2024,SDN,47208125,South Kordofan,Delami,second projection,2024-10-01,2025-02-28,3,13598,0.3
Apr 2024,SDN,47208125,South Kordofan,Delami,second projection,2024-10-01,2025-02-28,4,9065,0.2
Apr 2024,SDN,47208125,South Kordofan,Delami,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,South Kordofan,Al buram,current,2024-04-01,2024-05-31,all,174982,1.0
Apr 2024,SDN,47208125,South Kordofan,Al buram,current,2024-04-01,2024-05-31,3+,87491,0.5
Apr 2024,SDN,47208125,South Kordofan,Al buram,current,2024-04-01,2024-05-31,1,26247,0.15
Apr 2024,SDN,47208125,South Kordofan,Al buram,current,2024-04-01,2024-05-31,2,61244,0.35
Apr 2024,SDN,47208125,South Kordofan,Al buram,current,2024-04-01,2024-05-31,3,52495,0.3
Apr 2024,SDN,47208125,South Kordofan,Al buram,current,2024-04-01,2024-05-31,4,34996,0.2
Apr 2024,SDN,47208125,South Kordofan,Al buram,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,South Kordofan,Al buram,first projection,2024-06-01,2024-09-30,all,174982,1.0
Apr 2024,SDN,47208125,South Kordofan,Al buram,first projection,2024-06-01,2024-09-30,3+,104989,0.6
Apr 2024,SDN,47208125,South Kordofan,Al buram,first projection,2024-06-01,2024-09-30,1,17498,0.1
Apr 2024,SDN,47208125,South Kordofan,Al buram,first projection,2024-06-01,2024-09-30,2,52495,0.3
Apr 2024,SDN,47208125,South Kordofan,Al buram,first projection,2024-06-01,2024-09-30,3,69993,0.4
Apr 2024,SDN,47208125,South Kordofan,Al buram,first projection,2024-06-01,2024-09-30,4,34996,0.2
Apr 2024,SDN,47208125,South Kordofan,Al buram,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,South Kordofan,Al buram,second projection,2024-10-01,2025-02-28,all,174982,1.0
Apr 2024,SDN,47208125,South Kordofan,Al buram,second projection,2024-10-01,2025-02-28,3+,69993,0.4
Apr 2024,SDN,47208125,South Kordofan,Al buram,second projection,2024-10-01,2025-02-28,1,34996,0.2
Apr 2024,SDN,47208125,South Kordofan,Al buram,second projection,2024-10-01,2025-02-28,2,69993,0.4
Apr 2024,SDN,47208125,South Kordofan,Al buram,second projection,2024-10-01,2025-02-28,3,52495,0.3
Apr 2024,SDN,47208125,South Kordofan,Al buram,second projection,2024-10-01,2025-02-28,4,17498,0.1
Apr 2024,SDN,47208125,South Kordofan,Al buram,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,South Kordofan,Kadugli,current,2024-04-01,2024-05-31,all,78833,1.0
Apr 2024,SDN,47208125,South Kordofan,Kadugli,current,2024-04-01,2024-05-31,3+,47301,0.6
Apr 2024,SDN,47208125,South Kordofan,Kadugli,current,2024-04-01,2024-05-31,1,7883,0.1
Apr 2024,SDN,47208125,South Kordofan,Kadugli,current,2024-04-01,2024-05-31,2,23650,0.3
Apr 2024,SDN,47208125,South Kordofan,Kadugli,current,2024-04-01,2024-05-31,3,27592,0.35
Apr 2024,SDN,47208125,South Kordofan,Kadugli,current,2024-04-01,2024-05-31,4,15767,0.2
Apr 2024,SDN,47208125,South Kordofan,Kadugli,current,2024-04-01,2024-05-31,5,3942,0.05
Apr 2024,SDN,47208125,South Kordofan,Kadugli,first projection,2024-06-01,2024-09-30,all,78833,1.0
Apr 2024,SDN,47208125,South Kordofan,Kadugli,first projection,2024-06-01,2024-09-30,3+,55183,0.7
Apr 2024,SDN,47208125,South Kordofan,Kadugli,first projection,2024-06-01,2024-09-30,1,3942,0.05
Apr 2024,SDN,47208125,South Kordofan,Kadugli,first projection,2024-06-01,2024-09-30,2,19708,0.25
