Country,population,phase3plus_abs,phase3plus_per,date,Analysis Period,end_date,country_code
Sudan,42813000.0,5852810.0,0.13,2019-06-01,Jun 2019 - Aug 2019,2019-08-01,SDN
Timor-Leste,1340434.0,299521.0,0.22,2022-11-01,Nov 2022 - Apr 2023,2023-04-01,TLS
Uganda,44212800.0,1796780.0,0.24,2022-10-01,Jun 2022 - Aug 2022,2022-08-01,UGA
Uganda,44212800.0,517850.0,0.41,2022-04-01,Mar 2022 - Jul 2022,2022-07-01,UGA
Uganda,42885900.0,360910.0,0.3,2021-04-01,Mar 2021 - Jul 2021,2021-07-01,UGA
Uganda,45741000.0,2602848.0,0.23,2020-06-01,Jun 2020 - Aug 2020,2020-08-01,UGA
Uganda,42729000.0,277265.0,0.11,2018-10-01,Oct 2018 - Dec 2018,2018-12-01,UGA
Uganda,40145000.0,440821.0,0.01,2017-11-01,Nov 2017 - Feb 2018,2018-02-01,UGA
Uganda,40145000.0,1600667.0,0.05,2017-01-01,Jan 2017 - Mar 2017,2017-03-01,UGA
Yemen,31900000.0,,,2022-08-01,,,YEM
Yemen,31900000.0,17365500.0,0.55,2022-02-01,Jan 2022 - May 2022,2022-05-01,YEM
Yemen,30041712.0,13479500.0,0.45,2020-11-01,Oct 2020 - Dec 2020,2020-12-01,YEM
Yemen,29826000.0,2008080.0,0.25,2020-06-01,Feb 2020 - Apr 2020,2020-04-01,YEM
Yemen,30041712.0,1246500.0,0.52,2019-06-01,Jul 2019 - Sep 2019,2019-09-01,YEM
Yemen,29884585.0,15900000.0,0.53,2018-12-01,Dec 2018 - Jan 2019,2019-01-01,YEM
Yemen,28235000.0,,,2017-03-01,,,YEM
Zambia,18926743.0,1351647.0,0.1,2022-06-01,Jun 2022 - Sep 2022,2022-09-01,ZMB
Zambia,18400556.0,1175104.0,0.1,2021-06-01,Jul 2021 - Sep 2021,2021-09-01,ZMB
Zambia,18000000.0,,,2021-02-01,,,ZMB
Zambia,17885422.0,1423026.0,0.22,2020-07-01,Jul 2020 - Sep 2020,2020-09-01,ZMB
Zambia,17861000.0,1657255.0,0.18,2019-05-01,May 2019 - Sep 2019,2019-09-01,ZMB
Zambia,17609178.0,913166.0,0.13,2018-06-01,May 2018 - Sep 2018,2018-09-01,ZMB
Zimbabwe,15557469.0,2605477.0,0.27,2020-10-01,Oct 2020 - Dec 2020,2020-12-01,ZWE
Zimbabwe,14645000.0,4341420.0,0.45,2020-02-01,Feb 2020 - Jun 2020,2020-06-01,ZWE
Zimbabwe,14645000.0,2294605.0,0.25,2019-06-01,Jun 2019 - Sep 2019,2019-09-01,ZWE
Zimbabwe,14645000.0,2879000.0,0.3,2019-02-01,Feb 2019 - May 2019,2019-05-01,ZWE
