id,operation,admin0Name,admin0Pcode,admin1Name,admin1Pcode,admin2Name,admin2Pcode,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,assessmentType,admin2,fatalities,event_id_cnty
519642,Armed Clashes in Sudan (Overview),Sudan,SDN,Sennar,SD14,Ad Dali,SD14039,12271,2024-12-17T00:00:00,2024,12,18,BA,Ad Dali,27,18
519643,Armed Clashes in Sudan (Overview),Sudan,SDN,Sennar,SD14,Dinder,SD14040,28487,2024-12-17T00:00:00,2024,12,18,BA,Dinder,73,65
519644,Armed Clashes in Sudan (Overview),Sudan,SDN,Sennar,SD14,As Suki,SD14041,58289,2024-12-17T00:00:00,2024,12,18,BA,As Suki,32,54
519645,Armed Clashes in Sudan (Overview),Sudan,SDN,Sennar,SD14,Sharg Sennar,SD14042,32360,2024-12-17T00:00:00,2024,12,18,BA,Sharg Sennar,29,17
519646,Armed Clashes in Sudan (Overview),Sudan,SDN,Sennar,SD14,Sinja,SD14043,9512,2024-12-17T00:00:00,2024,12,18,BA,Sinja,184,60
519647,Armed Clashes in Sudan (Overview),Sudan,SDN,Aj Jazirah,SD15,Medani Al Kubra,SD15030,3789,2024-12-17T00:00:00,2024,12,18,BA,Medani Al Kubra,411,232
519648,Armed Clashes in Sudan (Overview),Sudan,SDN,Aj Jazirah,SD15,Janub Al Jazirah,SD15031,2674,2024-12-17T00:00:00,2024,12,18,BA,Janub Al Jazirah,354,256
519649,Armed Clashes in Sudan (Overview),Sudan,SDN,Aj Jazirah,SD15,Um Algura,SD15032,20169,2024-12-17T00:00:00,2024,12,18,BA,Um Algura,473,127
519650,Armed Clashes in Sudan (Overview),Sudan,SDN,Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,5034,2024-12-17T00:00:00,2024,12,18,BA,Sharg Al Jazirah,1221,215
519652,Armed Clashes in Sudan (Overview),Sudan,SDN,Aj Jazirah,SD15,Al Kamlin,SD15035,57239,2024-12-17T00:00:00,2024,12,18,BA,Al Kamlin,397,137
519653,Armed Clashes in Sudan (Overview),Sudan,SDN,Aj Jazirah,SD15,Al Manaqil,SD15036,102947,2024-12-17T00:00:00,2024,12,18,BA,Al Manaqil,154,62
519654,Armed Clashes in Sudan (Overview),Sudan,SDN,Aj Jazirah,SD15,Al Qurashi,SD15037,76315,2024-12-17T00:00:00,2024,12,18,BA,Al Qurashi,154,33
519656,Armed Clashes in Sudan (Overview),Sudan,SDN,River Nile,SD16,Al Matama,SD16009,182195,2024-12-17T00:00:00,2024,12,18,BA,Al Matama,2,11
519658,Armed Clashes in Sudan (Overview),Sudan,SDN,River Nile,SD16,Ad Damar,SD16011,154981,2024-12-17T00:00:00,2024,12,18,BA,Ad Damar,12,27
519659,Armed Clashes in Sudan (Overview),Sudan,SDN,River Nile,SD16,Atbara,SD16012,114793,2024-12-17T00:00:00,2024,12,18,BA,Atbara,5,35
519660,Armed Clashes in Sudan (Overview),Sudan,SDN,River Nile,SD16,Barbar,SD16013,151747,2024-12-17T00:00:00,2024,12,18,BA,Barbar,8,10
519661,Armed Clashes in Sudan (Overview),Sudan,SDN,River Nile,SD16,Al Buhaira,SD16014,8378,2024-12-17T00:00:00,2024,12,18,BA,Al Buhaira,0,2
519662,Armed Clashes in Sudan (Overview),Sudan,SDN,Northern,SD17,Halfa,SD17014,56744,2024-12-17T00:00:00,2024,12,18,BA,Halfa,0,14
519664,Armed Clashes in Sudan (Overview),Sudan,SDN,Northern,SD17,Al Burgaig,SD17016,64541,2024-12-17T00:00:00,2024,12,18,BA,Al Burgaig,0,3
519665,Armed Clashes in Sudan (Overview),Sudan,SDN,Northern,SD17,Dongola,SD17017,75067,2024-12-17T00:00:00,2024,12,18,BA,Dongola,2,37
519666,Armed Clashes in Sudan (Overview),Sudan,SDN,Northern,SD17,Al Golid,SD17018,69167,2024-12-17T00:00:00,2024,12,18,BA,Al Golid,0,3
519667,Armed Clashes in Sudan (Overview),Sudan,SDN,Northern,SD17,Ad Dabbah,SD17019,120445,2024-12-17T00:00:00,2024,12,18,BA,Ad Dabbah,0,9
519669,Armed Clashes in Sudan (Overview),Sudan,SDN,West Kordofan,SD18,Ghubaish,SD18021,13933,2024-12-17T00:00:00,2024,12,18,BA,Ghubaish,71,14
519670,Armed Clashes in Sudan (Overview),Sudan,SDN,West Kordofan,SD18,An Nuhud,SD18022,47147,2024-12-17T00:00:00,2024,12,18,BA,An Nuhud,21,39
519671,Armed Clashes in Sudan (Overview),Sudan,SDN,West Kordofan,SD18,Abu Zabad,SD18028,29504,2024-12-17T00:00:00,2024,12,18,BA,Abu Zabad,17,11
519672,Armed Clashes in Sudan (Overview),Sudan,SDN,West Kordofan,SD18,Wad Bandah,SD18029,7049,2024-12-17T00:00:00,2024,12,18,BA,Wad Bandah,53,5
519673,Armed Clashes in Sudan (Overview),Sudan,SDN,West Kordofan,SD18,Keilak,SD18085,16863,2024-12-17T00:00:00,2024,12,18,BA,Keilak,10,8
519676,Armed Clashes in Sudan (Overview),Sudan,SDN,West Kordofan,SD18,As Sunut,SD18092,8774,2024-12-17T00:00:00,2024,12,18,BA,As Sunut,9,3
519677,Armed Clashes in Sudan (Overview),Sudan,SDN,West Kordofan,SD18,Babanusa,SD18100,32587,2024-12-17T00:00:00,2024,12,18,BA,Babanusa,333,89
519678,Armed Clashes in Sudan (Overview),Sudan,SDN,West Kordofan,SD18,Al Lagowa,SD18102,21527,2024-12-17T00:00:00,2024,12,18,BA,Al Lagowa,43,18
519679,Armed Clashes in Sudan (Overview),Sudan,SDN,West Kordofan,SD18,Al Dibab,SD18103,21146,2024-12-17T00:00:00,2024,12,18,BA,Al Dibab,0,2
